"","year","treated","G","lemp","lpop","lavg_pay","region","id"
"1",2001,0,2007,5.55682806169954,9.61413742298365,10.0574953650155,"4",8003
"2",2002,0,2007,5.35658627467201,9.62397204275074,10.0971199004759,"4",8003
"3",2003,0,2007,5.3890717298165,9.62085935438703,10.1076113700131,"4",8003
"4",2004,0,2007,5.35658627467201,9.62654757661625,10.1403367509064,"4",8003
"5",2005,0,2007,5.30330490805908,9.63795828472548,10.1754974555936,"4",8003
"6",2006,0,2007,5.34233425196481,9.63305583349088,10.2185902205639,"4",8003
"7",2007,1,2007,5.22035582507832,9.63541200972327,10.2897018810522,"4",8003
"8",2001,0,2007,5.19849703126583,9.26036786557583,10.021359473131,"4",8007
"9",2002,0,2007,5.26269018890489,9.31226499169811,10.031044885951,"4",8007
"10",2003,0,2007,5.27811465923052,9.33811774191801,10.0717946979445,"4",8007
"11",2004,0,2007,5.28826703069454,9.35962207469194,10.1071628206549,"4",8007
"12",2005,0,2007,5.37527840768417,9.36108525866861,10.1511285754507,"4",8007
"13",2006,0,2007,5.44241771052179,9.4012086347386,10.1980583431913,"4",8007
"14",2007,1,2007,5.73009978297357,9.43180251050785,10.2380651382965,"4",8007
"15",2001,0,2007,8.73069036567864,12.8402471203587,10.4560211782019,"4",8001
"16",2002,0,2007,8.54130026675947,12.8291191984106,10.4637602675049,"4",8001
"17",2003,0,2007,8.46146904264388,12.8515253114774,10.4867919649139,"4",8001
"18",2004,0,2007,8.33686963728496,12.8689255534565,10.5367254803422,"4",8001
"19",2005,0,2007,8.34021732094704,12.8987547179441,10.5552657139851,"4",8001
"20",2006,0,2007,8.37816098272068,12.9250191431303,10.5783180013102,"4",8001
"21",2007,1,2007,8.48735234940522,12.9470738379199,10.60641178161,"4",8001
"22",2001,0,2007,3.13549421592915,8.65347080970879,10.1936914425314,"4",8011
"23",2002,0,2007,3.66356164612965,8.64716826783798,10.0908795661432,"4",8011
"24",2003,0,2007,3.46573590279973,8.63799389156194,10.1219803056349,"4",8011
"25",2004,0,2007,3.29583686600433,8.63444275146648,10.1873874816924,"4",8011
"26",2005,0,2007,2.99573227355399,8.72566970568704,10.1908070592689,"4",8011
"27",2006,0,2007,2.94443897916644,8.72062371142043,10.2195383990384,"4",8011
"28",2007,1,2007,2.39789527279837,8.66302363962778,10.2506524186961,"4",8011
"29",2001,0,2007,9.32197118814737,13.1288284338176,10.7143955462833,"4",8005
"30",2002,0,2007,9.12456459495478,13.1425326041614,10.7312530348208,"4",8005
"31",2003,0,2007,9.02581639162703,13.1542670012173,10.7635676565734,"4",8005
"32",2004,0,2007,8.89863879368018,13.1660854825356,10.7651742524162,"4",8005
"33",2005,0,2007,8.92092346223069,13.1754794095956,10.7909466177416,"4",8005
"34",2006,0,2007,8.91865027812686,13.1851560003482,10.8577289606388,"4",8005
"35",2007,1,2007,8.96316024283373,13.2056267393525,10.874607320689,"4",8005
"36",2001,0,2007,5.85220247977447,9.71044877090097,10.0291064739603,"4",8015
"37",2002,0,2007,5.80814248998044,9.73079944471041,10.0671782951926,"4",8015
"38",2003,0,2007,5.78996017089725,9.73329217554001,10.0876407641591,"4",8015
"39",2004,0,2007,5.57972982598622,9.73601519859238,10.0859757621094,"4",8015
"40",2005,0,2007,5.71702770140622,9.72507833256209,10.1365814347035,"4",8015
"41",2006,0,2007,5.67332326717149,9.71902370267014,10.181460140129,"4",8015
"42",2007,1,2007,5.76519110278484,9.73258060055743,10.2082479565227,"4",8015
"43",2001,0,2007,4.00733318523247,8.41205487329293,9.76846934085804,"4",8009
"44",2002,0,2007,4.06044301054642,8.38685668968823,9.80510265061473,"4",8009
"45",2003,0,2007,3.52636052461616,8.33423142973486,9.8414525616166,"4",8009
"46",2004,0,2007,4.06044301054642,8.3255483071614,9.88338688082912,"4",8009
"47",2005,0,2007,3.80666248977032,8.29104513108173,9.9265202516467,"4",8009
"48",2006,0,2007,3.71357206670431,8.27154837475551,9.97095926765114,"4",8009
"49",2007,1,2007,3.25809653802148,8.25322764558177,10.0392414735137,"4",8009
"50",2001,0,2007,5.15329159449778,9.15005944109125,10.2631530203974,"4",8019
"51",2002,0,2007,5.08140436498446,9.16408698745872,10.3016594631502,"4",8019
"52",2003,0,2007,4.99721227376411,9.16009915553944,10.3043085601506,"4",8019
"53",2004,0,2007,5.08140436498446,9.12401966550966,10.3859754282704,"4",8019
"54",2005,0,2007,4.78749174278205,9.1085291058295,10.4273577250229,"4",8019
"55",2006,0,2007,4.99043258677874,9.09324460009994,10.4819811705267,"4",8019
"56",2007,1,2007,5.03695260241363,9.09750756370184,10.5405933422124,"4",8019
"57",2001,0,2007,8.59062950948942,12.6078610026659,10.6989656641935,"4",8013
"58",2002,0,2007,8.4213428657594,12.5363722994706,10.6927854686253,"4",8013
"59",2003,0,2007,8.3059782109673,12.5334572861783,10.7263902560886,"4",8013
"60",2004,0,2007,8.20385137218388,12.540940023626,10.7635041853311,"4",8013
"61",2005,0,2007,8.19229373114764,12.5532940451968,10.801919766109,"4",8013
"62",2006,0,2007,8.20001364817543,12.5604198824597,10.8384822692041,"4",8013
"63",2007,1,2007,8.21365270303,12.5970702691244,10.8732242601159,"4",8013
"64",2001,0,2007,2.39789527279837,8.18423477409482,9.81558486936022,"4",8023
"65",2002,0,2007,2.484906649788,8.1934002319521,9.89222436025742,"4",8023
"66",2003,0,2007,2.19722457733622,8.18088094199639,9.90203650026881,"4",8023
"67",2004,0,2007,2.30258509299405,8.17807746384961,9.91921325299761,"4",8023
"68",2005,0,2007,2.77258872223978,8.12237124340655,9.994470200248,"4",8023
"69",2006,0,2007,1.94591014905531,8.11402544235676,10.0327159505439,"4",8023
"70",2007,1,2007,2.99573227355399,8.10258642539079,10.0910453761253,"4",8023
"71",2001,0,2007,2.89037175789616,8.60940767540405,10.1794891733385,"4",8025
"72",2002,0,2007,2.83321334405622,8.61068353450358,10.2354855087624,"4",8025
"73",2003,0,2007,2.70805020110221,8.60758219114392,10.2931958380319,"4",8025
"74",2004,0,2007,2.63905732961526,8.60904284504612,10.297992820408,"4",8025
"75",2005,0,2007,2.19722457733622,8.69131455164485,10.322263674704,"4",8025
"76",2006,0,2007,2.77258872223978,8.73600738456922,10.3748340297578,"4",8025
"77",2007,1,2007,2.19722457733622,8.77508593505727,10.3715204912462,"4",8025
"78",2001,0,2007,3.2188758248682,8.19201691453688,9.98557432353424,"4",8027
"79",2002,0,2007,3.63758615972639,8.20439841814938,9.98566643849377,"4",8027
"80",2003,0,2007,3.43398720448515,8.24328252304838,10.0258379198136,"4",8027
"81",2004,0,2007,3.2188758248682,8.24564690087386,10.0865171919138,"4",8027
"82",2005,0,2007,2.77258872223978,8.26487826280175,10.0250855242836,"4",8027
"83",2006,0,2007,2.94443897916644,8.26333266743997,10.0670933911341,"4",8027
